Unnamed: 0,index,smiles,length,inchikey,name,groups,withdrawn_class,source
3857,3857,Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1.Cl,48,ZIODNPFQZIHCOE-UHFFFAOYSA-N,dapiprazole hydrochloride,withdrawn,1,['ChEMBL']
3841,3841,CCN(CC)CCOC(=O)C(C)(c1ccccc1)c2ccccc2,49,DIDYGLSKVUKRRP-UHFFFAOYSA-N,aprofene,Possibly Marketed Outside US,0,['NCATS']
4762,4762,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1,39,YXUPZGKORWTXID-UHFFFAOYSA-N,domiphen,US Previously Marketed,1,['NCATS']
4530,4530,CCCCCCCCCCCCCCCCOP(=O)(O)OCCCCCCCCCCCCCCCC,42,RNPXCFINMKSQPQ-UHFFFAOYSA-N,dihexadecyl phosphate,Possibly Marketed Outside US,0,['NCATS']
4907,4907,Cc1ccc(cc1)C(=O)C(C)CN2CCCCC2.Cl,38,FSKFPVLPFLJRQB-UHFFFAOYSA-N,tolperisone hydrochloride,Possibly Marketed Outside US,0,['NCATS']
4856,4856,CC(C)c1cccc(C(C)C)c1OCOP(=O)(O)O,38,QVNNONOFASOXQV-UHFFFAOYSA-N,fospropofol,withdrawn,1,['ChEMBL']
236,236,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1.CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1.Cl,166,MPTNDTIREFCQLK-UNVJPQNDSA-N,cefmenoxime hydrochloride,withdrawn,1,['ChEMBL']
2422,2422,c1cc(ccc1Cl)Oc2ccc(cc2Cl)N=C(c3cc(cc(c3O)I)I)O,66,NEMNPWINWMHUMR-UHFFFAOYSA-N,rafoxanide,Possibly Marketed Outside US,0,['NCATS']
5914,5914,[Cu++].[O-]S([O-])(=O)=O,24,ARUVKPQLZAKDPS-UHFFFAOYSA-L,cupric sulfate,approved,0,"['DrugBank', 'NCATS']"
1496,1496,C[C@@]12C=CC(=O)C=C2C(=C[C@@]3([H])[C@]4([H])CC[C@](C(=O)CO)([C@@]4(C)C[C@@]([H])([C@@]31[H])O)O)Cl,81,YTJIBEDMAQUYSZ-FDNPDPBUSA-N,cloprednol,Possibly Marketed Outside US,0,['NCATS']
2630,2630,CN(C)C(=O)COC(=O)Cc1ccc(cc1)OC(=O)c2ccc(cc2)NC(=N)N,63,XASIMHXSUQUHLV-UHFFFAOYSA-N,camostat,Possibly Marketed Outside US,0,['NCATS']
3825,3825,CCN1CCC(=C2c3ccccc3CCc4ccccc42)C1C.Cl,49,NKJQZSDCCLDOQH-UHFFFAOYSA-N,piroheptine hydrochloride,Possibly Marketed Outside US,0,['NCATS']
450,450,CC1(C)[C@]([H])(C(=O)OC2([H])c3ccccc3C(=O)O2)N4C(=O)[C@]([H])([C@@]4([H])S1)N=C([C@@]([H])(c5ccccc5)N)O.c1ccc2cc(ccc2c1)S(=O)(=O)O,127,KVBGVZZKJNLNJU-UHFFFAOYSA-N,talampicillin napsilate,Possibly Marketed Outside US,0,['NCATS']
1277,1277,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,85,UYIPQECISAQMIU-WZTVWXICSA-N,iodamide meglumine,withdrawn,1,['ChEMBL']
3792,3792,CCOC(=O)C1=C2CN(C)C(=O)C3=C(C=CC(F)=C3)N2C=N1,49,OFBIFZUFASYYRE-UHFFFAOYSA-N,flumazenil,approved,0,"['DrugBank', 'ChEMBL', 'NCATS']"
1529,1529,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,80,OJCZPLDERGDQRJ-UHFFFAOYSA-N,sufentanil citrate,approved,0,['ChEMBL']
5493,5493,[O-][Si]([O-])([O-])[O-].[Zr+4],31,BPQQTUXANYXVAA-UHFFFAOYSA-N,zirconium silicate,Possibly Marketed Outside US,0,['NCATS']
4279,4279,CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1,44,BGDKAVGWHJFAGW-UHFFFAOYSA-N,tropicamide,approved; investigational,0,"['DrugBank', 'ChEMBL', 'NCATS']"
5670,5670,[Au+3].[Cl-].[Cl-].[Cl-].O.O,28,AOVRKCFLDXIUMO-UHFFFAOYSA-K,gold trichloride dihydrate,US Previously Marketed,1,['NCATS']
1012,1012,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=C(C=C2)O)C(=O)NC3C4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O,92,GCFBRXLSHGKWDP-XCGNWRKASA-N,cefoperazone,withdrawn,1,"['WITHDRAWN', 'ChEMBL']"
85,85,CC(=O)O.CC(=O)O.CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,218,OGUJBRYAAJYXQP-LLXMLGLCSA-N,caspofungin acetate,approved,0,['ChEMBL']
3285,3285,CSC1=NC2=C(N1)C=C(Cl)C(OC1=CC=CC(Cl)=C1Cl)=C2,55,NQPDXQQQCQDHHW-UHFFFAOYSA-N,triclabendazole,approved; investigational,0,"['DrugBank', 'ChEMBL', 'NCATS']"
5183,5183,C1CCC(CC1)NSC1=NC2=CC=CC=C2S1,35,DEQZTKGFXNUBJL-UHFFFAOYSA-N,thiohexam,approved; experimental,0,"['DrugBank', 'NCATS']"
6388,6388,CC(C)CCCC(C)N,13,QNIVIMYXGGFTAK-UHFFFAOYSA-N,octodrine,US Previously Marketed,1,['NCATS']
5224,5224,CCCCCNCCOC(=O)c1ccc(cc1)N.Cl,34,SDNODXJEIFDIKF-UHFFFAOYSA-N,naepaine hydrochloride,US Previously Marketed,1,['NCATS']
2905,2905,C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O,59,XUCIJNAGGSZNQT-JHSLDZJXSA-N,amygdalin,withdrawn,1,['WITHDRAWN']
969,969,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,94,LEHFPXVYPMWYQD-XHIJKXOTSA-N,ulobetasol,approved,0,"['DrugBank', 'NCATS']"
4190,4190,CNC(=O)C1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I,45,UXIGWFXRQKWHHA-UHFFFAOYSA-N,iothalamic acid,approved,0,"['DrugBank', 'ChEMBL', 'NCATS']"
4354,4354,Cc1ccccc1C(OCCN(C)C)c1ccccc1.Cl,43,UQZKYYIKWZOKKD-UHFFFAOYSA-N,orphenadrine hydrochloride,withdrawn,1,['ChEMBL']
5123,5123,[Cl-].[Cl-].[Cl-].[La+3].O.O.O.O.O.O,36,CWDUIOHBERXKIX-UHFFFAOYSA-K,lanthanum chloride hexahydrate,US Approved Rx,0,['NCATS']
2904,2904,C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,59,NJMYODHXAKYRHW-DVZOWYKESA-N,flupentixol,withdrawn,1,"['WITHDRAWN', 'DrugBank']"
4878,4878,CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,38,AQHHHDLHHXJYJD-UHFFFAOYSA-N,propranolol,approved; investigational,0,"['DrugBank', 'ChEMBL', 'NCATS']"
