Unnamed: 0,index,smiles,length,inchikey,name,groups,withdrawn_class,source
3311,3311,CC(C)COC[C@]([H])(CN(Cc1ccccc1)c2ccccc2)N3CCCC3,55,UIEATEWHFDRYRU-DEOSSOPVSA-N,"bepridil, (s)-",Possibly Marketed Outside US,0,['NCATS']
5208,5208,CC12CCCCCC(C1N)CC3=C2C=C(C=C3)O,34,VTMVHDZWSFQSQP-VBNZEHGJSA-N,dezocine,withdrawn,1,"['WITHDRAWN', 'ChEMBL', 'NCATS']"
5024,5024,C[C@](Cc1ccc(c(c1)O)O)(C(=O)O)N,37,CJCSPKMFHVPWAR-UHFFFAOYSA-N,methyldopa anhydrous,US Approved Rx,0,['NCATS']
3328,3328,C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl,54,BOCUKUHCLICSIY-UHFFFAOYSA-N,cyclothiazide,withdrawn,1,"['WITHDRAWN', 'ChEMBL', 'NCATS']"
2030,2030,C1CNCC1N2CCC(=CC3=C(N4C(C(C4=O)NC(=O)C(=C5NSC(=N5)N)N=O)SC3)C(=O)O)C2=O,71,LXLDMYXULSBRCX-HZEONMFJSA-N,ceftobiprole,withdrawn,1,['WITHDRAWN']
1014,1014,C1CN(CCN1CCOC(=O)C2=CC=CC=C2NC3=C4C=CC(=CC4=NC=C3)C(F)(F)F)C5=CC=CC(=C5)C(F)(F)F,92,NWGGKKGAFZIVBJ-UHFFFAOYSA-N,antrafenine,withdrawn,1,"['WITHDRAWN', 'ChEMBL']"
3589,3589,CC(c1ccc(-c2ccccc2)c(c1)F)C(=O)[O-].[Na+],52,AUAGTGKMTMVIKN-UHFFFAOYSA-M,flurbiprofen sodium anhydrous,US Approved Rx,0,['NCATS']
4417,4417,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C.Cl,43,OQGYMIIFOSJQSF-UHFFFAOYSA-N,pentazocine hydrochloride,approved,0,['ChEMBL']
1995,1995,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,72,HYPPXZBJBPSRLK-UHFFFAOYSA-N,diphenoxylate,approved,0,"['ChEMBL', 'NCATS']"
4765,4765,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Fe+3],39,PVFSDGKDKFSOTB-UHFFFAOYSA-K,ferric acetate,US Previously Marketed,1,['NCATS']
183,183,CC(C)CC(=O)O[C@@]1([H])[C@]([H])(C)O[C@]([H])(C[C@@]1(C)O)O[C@]2([H])[C@@]([H])(C)O[C@]([H])([C@@]([H])([C@@]2([H])N(C)C)O)O[C@@]3([H])[C@@]([H])(CC=O)C[C@@]([H])(C)[C@]([H])(/C(/[H])=C(\[H])/C(/[H])=C(\[H])/C[C@@]([H])(C)OC(=O)C[C@]([H])([C@]3([H])OC)OC(=O)C)O,180,XJSFLOJWULLJQS-XRUKWLHHSA-N,josamycin,Possibly Marketed Outside US,0,['NCATS']
1726,1726,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1.Cl.Cl,76,SDBHDSZKNVDKNU-UHFFFAOYSA-N,buclizine hydrochloride,withdrawn,1,['ChEMBL']
135,135,CC[C@@]([H])(C)C(=O)O[C@@]1([H])[C@@]([H])([C@@]2([H])[C@@]([H])(CN3C[C@@]([H])(C)CC[C@@]3([H])[C@@]2(C)O)[C@]4([H])C[C@]56[C@@]([H])([C@@]([H])([C@@]([H])([C@@]7([H])[C@]6(C)CC[C@@]([H])([C@@]7(O)O5)OC(=O)[C@](C)(CC)O)OC(=O)C)OC(=O)C)[C@@]41O)O.CC(=O)O,196,DSDHWCGNLHADHK-XGTFUUGSSA-N,protoveratrine a acetate,US Previously Marketed,1,['NCATS']
3131,3131,CC(C)(C)C(=O)OCOC(=O)[C@@]1([H])C(C)(C)S(=O)(=O)[C@]2([H])CC(=O)N21,57,OHPVYKXTRACOSQ-ZJUUUORDSA-N,sulbactam pivoxil,US Approved Rx,0,['NCATS']
577,577,C(C[C@@]([H])(C(=O)O)N)CNC(=N)N.C(C[C@@]([H])(C(=O)O)N)CNC(=N)N.C(C[C@@]([H])(C(=O)O)N)CNC(=N)N.CCCC(=O)O.CCCC(=O)O.CCCC(=O)O.CCCC(=O)O,114,FERIUCNNQQJTOY-UHFFFAOYSA-N,arginine butyrate,US Approved Rx,0,['NCATS']
87,87,CC(C)c1c(c(-c2ccccc2)c(-c3ccc(cc3)F)n1CC[C@]([H])(C[C@]([H])(CC(=O)O)O)O)C(=Nc4ccccc4)O.CC(C)c1c(c(-c2ccccc2)c(-c3ccc(cc3)F)n1CC[C@]([H])(C[C@]([H])(CC(=O)[O-])O)O)C(=Nc4ccccc4)[O-].[Mg+2],218,FYXCMEBRSGCOTJ-KAYWLYCHSA-N,atorvastatin magnesium,US Approved Rx,0,['NCATS']
470,470,CN(C)CCOC(c1ccccc1)c2ccccc2.Cn1c2c(c(=O)n(C)c1=O)n(CC(=O)O)cn2.Cn1c2c(c(=O)n(C)c1=O)n(CC(=O)O)cn2,125,COTYIKUDNNMSDT-UHFFFAOYSA-N,bietanautine,US Approved OTC,0,['NCATS']
1716,1716,CC1(C)[C@]([H])(C(=O)O)N2C(=O)[C@@]([H])([C@@]2([H])S1)N3C(=O)[C@@]([H])(c4ccccc4)NC3(C)C,77,DXVUYOAEDJXBPY-LMOYCYGVSA-N,epihetacillin,Possibly Marketed Outside US,0,['NCATS']
5146,5146,CCCC(C(=O)C1=CC=C(C=C1)C)N2CCCC2,35,SWUVZKWCOBGPTH-UHFFFAOYSA-N,pyrovalerone,withdrawn,1,"['WITHDRAWN', 'ChEMBL']"
4829,4829,c1ccc(cc1)CCN2CCC3(CC2)CN=C(O)O3.Cl,39,FIKFLLIUPUVONI-UHFFFAOYSA-N,fenspiride hydrochloride,Possibly Marketed Outside US,0,['NCATS']
2167,2167,CC(C)(C)C(=O)O[C@@]1([H])CC[C@@]2([H])[C@]3([H])CCc4cc(ccc4[C@@]3([H])CC[C@@]21C)O,69,SLOFBKMZOOTTDZ-WCZGSDDISA-N,estradiol 17-pivalate,US Previously Marketed,1,['NCATS']
1504,1504,CC(C)(C)c1ccc(c(c1)CN[C@@]2([H])C3CCN(CC3)[C@@]2([H])C(c4ccccc4)c5ccccc5)OC,81,OMPCVMLFFSQFIX-CONSDPRKSA-N,maropitant,Possibly Marketed Outside US,0,['NCATS']
2952,2952,CN(C)c1ccc2c(c1)[s+]c3cc(ccc3n2)N(C)C.[Cl-].O,59,RBTBFTRPCNLSDE-UHFFFAOYSA-N,methylene blue monohydrate,US Approved Rx,0,"['ChEMBL', 'NCATS']"
840,840,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(/C=C\c3scnc3C)CS[C@H]12)c1csc(N)n1,99,AFZFFLVORLEPPO-UVYJNCLZSA-N,cefditoren pivoxil,approved,0,['ChEMBL']
1048,1048,CCCC(=O)O[C@@]1([C@@]([H])(C)C[C@@]2([H])[C@]3([H])CCC4=CC(=O)C=C[C@]4(C)[C@]3(C(=O)C[C@@]21C)F)C(=O)CCl,92,FBRAWBYQGRLCEK-AVVSTMBFSA-N,clobetasone butyrate,Possibly Marketed Outside US,0,['NCATS']
