Unnamed: 0,index,smiles,length,inchikey,name,groups,withdrawn_class,source
2057,2057,OS(=O)(=O)C1=CC2=C(N\C(C2=O)=C2\NC3=C(C=C(C=C3)S(O)(=O)=O)C2=O)C=C1,71,CFZXDJWFRVEWSR-BUHFOSPRSA-N,indigotindisulfonic acid,approved,0,['DrugBank']
2507,2507,c1cc(ccc1-c2cc(C(F)(F)F)nn2-c3ccc(cc3)S(=O)(=O)N)F,65,TTZNQDOUNXBMJV-UHFFFAOYSA-N,mavacoxib,Possibly Marketed Outside US,0,['NCATS']
3875,3875,CN(C)CCO[C@@]([H])(c1ccc(cc1)Cl)c2ccccn2,48,OJFSXZCBGQGRNV-INIZCTEOSA-N,rotoxamine,US Previously Marketed,1,['NCATS']
2665,2665,C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Co+2].[Co+2],62,KCXVZYZYPLLWCC-UHFFFAOYSA-J,dicobalt edetate,US Previously Marketed,1,['NCATS']
6129,6129,OC(=O)C(S)C(S)C(O)=O,20,ACTRVOBWPAIOHC-UHFFFAOYSA-N,dimercaptosuccinic acid,approved; experimental,0,['DrugBank']
3714,3714,CN(C(=O)C(Cl)Cl)C1=CC=C(OC(=O)C2=CC=CO2)C=C1,50,BDYYDXJSHYEDGB-UHFFFAOYSA-N,diloxanide furoate,approved,0,"['DrugBank', 'NCATS']"
5647,5647,c1cc(ccc1[As](=O)(O)O)N,29,XKNKHVGWJDPIRJ-UHFFFAOYSA-N,arsanilic acid,Possibly Marketed Outside US,0,['NCATS']
184,184,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)C1O[C@@H]1O[C@@H]([C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)C(O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)[C@H]2NC(C)=O)[C@H](O)[C@H]1O)C(O)=O,179,KIUKXJAPPMFGSW-MNSSHETKSA-N,hyaluronic acid,approved; vet_approved,0,['DrugBank']
6422,6422,Cl[Fe](Cl)Cl,12,RBTARNINKXHZNM-UHFFFAOYSA-K,ferric chloride,approved; experimental,0,"['DrugBank', 'NCATS']"
4824,4824,c1ccc(cc1)COC(=O)C(c2ccccc2)O,39,JFKWZVQEMSKSBU-UHFFFAOYSA-N,benzyl mandelate,Possibly Marketed Outside US,0,['NCATS']
5596,5596,NC(=O)CN1CC2=CC=CC=C2OC1=O,29,KYCBWEZLKCTALM-UHFFFAOYSA-N,caroxazone,withdrawn,1,['DrugBank']
4083,4083,CC1=CC=C(NC2=C(Cl)C=CC=C2F)C(CC(O)=O)=C1,46,KHPKQFYUPIUARC-UHFFFAOYSA-N,lumiracoxib,approved; investigational,0,['DrugBank']
5599,5599,CN1CCc2cc3c(cc2C1O)OCO3,29,YOJQZPVUNUQTDF-UHFFFAOYSA-N,hydrastinine,US Previously Marketed,1,['NCATS']
5772,5772,C(CC(=O)O)[C@@]([H])(C(=O)O)N.Cl,26,RPAJSBKBKSSMLJ-DFWYDOINSA-N,glutamic acid hydrochloride,US Previously Marketed,1,['NCATS']
470,470,CN(C)CCOC(c1ccccc1)c2ccccc2.Cn1c2c(c(=O)n(C)c1=O)n(CC(=O)O)cn2.Cn1c2c(c(=O)n(C)c1=O)n(CC(=O)O)cn2,125,COTYIKUDNNMSDT-UHFFFAOYSA-N,bietanautine,US Approved OTC,0,['NCATS']
2414,2414,CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Al+3].[OH-],66,QIQXTHQIDYTFRH-UHFFFAOYSA-M,aluminum distearate,Possibly Marketed Outside US,0,['NCATS']
2669,2669,C#C[C@@]1(CC[C@@]2([H])[C@]3([H])CCc4cc(ccc4[C@@]3([H])CC[C@@]21C)OC)O,62,IMSSROKUHAOUJS-MJCUULBUSA-N,mestranol,US Previously Marketed,1,['NCATS']
2969,2969,CC1CCc2c3c(cc(c2N4CCC(CC4)O)F)c(=O)c(cn13)C(=O)O,59,JYJTVFIEFKZWCJ-UHFFFAOYSA-N,nadifloxacin,Possibly Marketed Outside US,0,['NCATS']
5066,5066,c1ccc2c(c1)c3ccccc3s2,36,IYYZUPMFVPLQIF-UHFFFAOYSA-N,dibenzothiophene,US Previously Marketed,1,['NCATS']
