,index,smiles,length,inchikey,name,groups,withdrawn_class,source
0,0,CC(C)C[C@@]([H])(C(=N[C@@]([H])(CCCCNC(C)C)C(=O)N1CCC[C@@]1([H])C(=N[C@]([H])(C)C(=N)O)O)O)N=C([C@@]([H])(Cc2ccc(cc2)NC(=N)O)N=C([C@]([H])(Cc3ccc(cc3)NC(=O)[C@@]4([H])CC(=NC(=N4)O)O)N=C([C@]([H])(CO)N=C([C@@]([H])(Cc5cccnc5)N=C([C@@]([H])(Cc6ccc(cc6)Cl)N=C([C@@]([H])(Cc7ccc8ccccc8c7)N=C(C)O)O)O)O)O)O)O.CC(=O)O.O,300,MEUCPCLKGZSHTA-YAVPXVOBSA-N,degarelix acetate,US Approved Rx,0,['NCATS']
1,1,CC(C)C[C@@]([H])(C(=N[C@@]([H])(CCCCNC(C)C)C(=O)N1CCC[C@@]1([H])C(=N[C@]([H])(C)C(=N)O)O)O)N=C([C@@]([H])(Cc2ccc(cc2)NC(=N)O)N=C([C@]([H])(Cc3ccc(cc3)NC(=O)[C@]4([H])CC(=NC(=N4)O)O)N=C([C@]([H])(CO)N=C([C@@]([H])(Cc5cccnc5)N=C([C@@]([H])(Cc6ccc(cc6)Cl)N=C([C@@]([H])(Cc7ccc8ccccc8c7)N=C(C)O)O)O)O)O)O)O.CC(=O)O,299,AUTFSFUMNFDPLH-KYMMNHPFSA-N,degarelix acetate anhydrous,US Approved Rx,0,['NCATS']
2,2,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1.O=S(=O)(O)O,296,WUIABRMSWOKTOF-OYALTWQYSA-O,bleomycin sulfate,approved,0,['ChEMBL']
3,3,Cc1c(C(=N[C@@]([H])([C@]([H])(c2cnc[nH]2)O[C@@]3([H])[C@]([H])([C@]([H])([C@@]([H])([C@]([H])(CO)O3)O)O)O[C@]4([H])[C@]([H])([C@]([H])([C@@]([H])([C@@]([H])(CO)O4)O)OC(=N)[O-])O)C(=N[C@]([H])(C)[C@]([H])([C@]([H])(C)C(=N[C@@]([H])([C@@]([H])(C)O)C(=NCCc5nc(cs5)-c6nc(cs6)C(=NCCC[S+](C)C)O)O)O)O)O)O)nc([C@]([H])(CC(=N)O)NC[C@@]([H])(C(=N)O)N)[nH]c1=N.Cl,294,BODDZCXQPQPRES-OYALTWQYSA-N,bleomycin a2 hydrochloride,US Approved Rx,0,['NCATS']
6,6,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O.Cl,292,LCTORFDMHNKUSG-XTTLPDOESA-N,vancomycin hydrochloride,approved,0,['ChEMBL']
8,8,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O.NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O,291,NZKFUBQRAWPZJP-BXKLGIMVSA-N,tobramycin sulfate,approved,0,['ChEMBL']
9,9,Cc1c(C(=N[C@@]([H])([C@]([H])(c2cnc[nH]2)O[C@@]3([H])[C@]([H])([C@]([H])([C@@]([H])([C@]([H])(CO)O3)O)O)O[C@]4([H])[C@]([H])([C@]([H])([C@@]([H])([C@@]([H])(CO)O4)O)OC(=N)[O-])O)C(=N[C@]([H])(C)[C@]([H])([C@]([H])(C)C(=N[C@@]([H])([C@@]([H])(C)O)C(=NCCc5nc(cs5)-c6nc(cs6)C(=NCCC[S+](C)C)O)O)O)O)O)O)nc([C@]([H])(CC(=N)O)NC[C@@]([H])(C(=N)O)N)[nH]c1=N,291,IKOVJVQTPZPRSW-UAPAGMARSA-N,bleomycin a2,US Approved Rx,0,['NCATS']
10,10,CCCCCCCCCCCCCCCCCC(=N[C@@]([H])(CO[C@@]1([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(CO)O1)O[C@@]2([H])[C@@]([H])([C@]([H])([C@]([H])([C@@]([H])(CO)O2)O[C@@]3([H])[C@@]([H])([C@]([H])([C@]([H])([C@@]([H])(CO)O3)O)O[C@@]4([H])[C@@]([H])([C@]([H])([C@]([H])([C@@]([H])(CO)O4)O)O)O)N=C(C)O)O[C@@]5(C[C@@]([H])([C@]([H])([C@]([H])([C@@]([H])([C@@]([H])(CO)O)O)O5)N=C(C)O)O)C(=O)O)O)O)O)[C@@]([H])(/C(/[H])=C(\[H])/CCCCCCCCCCCCC)O)O,290,QPJBWNIQKHGLAU-XSRBSYKOSA-N,ganglioside gm1 (d18:1/18:0),Withdrawn,1,['NCATS']
16,16,C([C@]1([H])[C@]2([H])[C@@]([H])([C@]([H])([C@]([H])(O1)O[C@]3([H])[C@@]([H])(CO)O[C@@]([H])([C@@]([H])([C@@]3([H])O)O)O[C@]4([H])[C@@]([H])(CO)O[C@@]([H])([C@@]([H])([C@@]4([H])O)O)O[C@]5([H])[C@@]([H])(CO)O[C@@]([H])([C@@]([H])([C@@]5([H])O)O)O[C@]6([H])[C@@]([H])(CO)O[C@@]([H])([C@@]([H])([C@@]6([H])O)O)O[C@]7([H])[C@@]([H])(CO)O[C@@]([H])([C@@]([H])([C@@]7([H])O)O)O[C@]8([H])[C@@]([H])(CO)O[C@@]([H])([C@@]([H])([C@@]8([H])O)O)O2)O)O)O,284,WHGYBXFWUBPSRW-FOUAGVGXSA-N,betadex,Possibly Marketed Outside US,0,['NCATS']
19,19,COC1C(C(C(C(O1)COS(=O)(=O)[O-])OC2C(C(C(C(O2)C(=O)[O-])OC3C(C(C(C(O3)COS(=O)(=O)[O-])OC4C(C(C(C(O4)C(=O)[O-])OC5C(C(C(C(O5)COS(=O)(=O)[O-])O)O)NS(=O)(=O)[O-])O)O)OS(=O)(=O)[O-])NS(=O)(=O)[O-])O)OS(=O)(=O)[O-])O)NS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],275,XEKSTYNIJLDDAZ-JASSWCPGSA-D,fondaparinux sodium,withdrawn,1,['WITHDRAWN']
